1000
(61772.086131,28582.5921993)
(-25410.3645404,-29774.9211788)
(-15306.8792966,47220.4809703)
(-2086.10428321,-22226.8700975)
(12930.8548177,15083.4288658)
(33689.920736,-3726.96095532)
(-29525.9649002,-43345.5049024)
(-53763.6775351,55651.0059735)
(16512.9473235,-12460.5417828)
(-3887.68366019,-34904.2776199)
(43051.6130738,22373.7534488)
(-12459.1776287,21733.1661283)
(-26306.5287116,-64920.4812003)
(-10942.8204384,-14818.8456058)
(-43781.7786667,-63070.7827599)
(58328.9597957,-52768.3827572)
(40912.2511499,60603.6355007)
(33672.2002714,30752.1876462)
(32991.1984696,-30784.6891204)
(59156.6322807,15501.7609351)
(48134.0460765,-7845.00874928)
(41207.6667677,55721.777073)
(-63936.1760753,-48132.3823763)
(42890.1754419,-9794.10878902)
(44632.2356154,44273.3495504)
(-36941.6607246,43068.2750655)
(49821.2607686,59090.1331159)
(38586.8774115,-45996.0534879)
(-7863.18635722,43333.5540596)
(61969.9920961,-60.4606452443)
(31540.1136622,13847.6897542)
(-16265.109917,15544.1119752)
(-37237.5029565,-45620.5937973)
(51335.2728302,-36925.3370876)
(64870.8584767,18918.4564378)
(7765.23608805,-47851.3997899)
(-49531.4000536,-7030.94152255)
(46758.2063578,40982.0730151)
(23082.1331054,-41884.2455739)
(18597.400259,34853.7304695)
(-39076.8328759,3323.32134473)
(63508.0401416,46641.7519424)
(56095.2176729,-34731.4824547)
(-38612.3929119,-19469.1325757)
(-299.338968828,27090.9241423)
(-31662.2425655,29239.8696432)
(-7874.171508,-58222.1033582)
(-56157.3651429,34478.8063528)
(62291.6436144,46812.8652348)
(-3318.7633597,-23195.4371582)
(57322.8211617,-61613.1802818)
(-61167.5785295,-65493.4042013)
(-59258.4525525,-327.865236931)
(-57164.541633,4170.85606981)
(15561.7858828,4879.78910855)
(-59197.3364123,18177.4458619)
(-14353.0670545,-32280.8217312)
(41003.7743166,20533.9105074)
(8653.96095054,6515.80414209)
(-37276.6371489,14795.9351796)
(55455.5603767,26651.7113813)
(24663.9322983,35685.7391476)
(-62496.5853754,-1478.87467644)
(-29127.9461934,-42080.3999536)
(1506.88315918,61320.2833347)
(-8233.54748584,-55062.4925151)
(15241.222462,-49180.0117515)
(19159.5269092,32448.5974149)
(-24958.2361427,12448.2305236)
(24238.7575545,59626.8793837)
(-60881.3299243,-40914.2148307)
(60982.4916379,-40870.4419336)
(13015.9516943,-61206.6122651)
(-40417.8182706,64865.1163276)
(62428.7744995,27163.6782732)
(32087.6431657,1964.62046461)
(-12630.564766,37627.630911)
(42611.6874061,-49616.9545636)
(-12594.5132078,12783.7093029)
(-14957.8930558,37781.4424996)
(-45875.976714,-1871.03359252)
(51976.8683187,17951.406398)
(58846.8134357,26517.4579996)
(12628.6701125,30298.1071065)
(-4929.85261435,27674.670546)
(-62837.4543778,-52009.1139455)
(-40522.832591,49410.1992638)
(33578.9494569,3916.92710476)
(-40060.0333215,41708.8626007)
(-36648.9295938,27212.3001059)
(-48403.796737,62784.3994583)
(44307.6811008,54828.4556856)
(-23279.099268,-16886.739038)
(13557.4232176,21905.4398922)
(-39441.1888099,44396.2674753)
(-8861.90847323,-89.6500065467)
(-14862.5753068,39082.5235465)
(-7516.8484123,38426.0842668)
(-11659.8970847,50939.3598224)
(-64849.8127188,-21678.9496068)
(50444.7220266,25729.6656778)
(55001.6618422,-7441.23236807)
(-21144.0328896,-34613.5581788)
(-2185.39948551,-10759.1820262)
(-25277.0453945,-4037.7874775)
(-47445.3933964,-52062.3009308)
(-8052.69601251,58664.0056373)
(60567.6447725,-2326.02639603)
(44552.8190872,-34357.6226823)
(-25969.6706939,-59612.3194059)
(-23709.1110579,36302.5183623)
(-9282.52286765,2631.93028754)
(34148.4622849,34799.912337)
(39930.6105617,-10107.2256361)
(-37458.6890648,39011.9788285)
(-23363.6474259,49665.6568172)
(-6904.96283222,12090.3309034)
(16279.7781495,-30001.7262995)
(-33516.7822455,12117.267634)
(-54351.5542129,-56584.6987823)
(-3358.71764439,63036.047304)
(-63084.8653411,47850.8658866)
(-12453.468449,-6575.59339503)
(-45711.3963407,-32574.8826216)
(23118.0249143,61781.9265105)
(-49380.7404457,-29815.3391489)
(-13281.8799469,-33395.4927359)
(45479.9971946,19045.4839758)
(28472.0078602,50231.7816491)
(-21807.7414054,58959.2439263)
(4154.11088557,34370.3738492)
(-47000.2408826,-27950.3808258)
(-9725.03841708,8469.04347542)
(5840.66625005,-7632.64141768)
(55349.8970353,-3796.91761591)
(-48721.2009007,-10922.2255035)
(43054.3093082,24924.5480381)
(-30089.2088796,-19260.7021025)
(37210.920714,-49317.3004321)
(-44268.008924,9526.97755605)
(-6012.30820514,1475.58999321)
(-26630.3915614,-30036.5977102)
(45374.7387191,3698.71632812)
(46786.1478568,60483.1155373)
(38023.3872473,52107.9603193)
(56488.5066454,-54492.9688974)
(-45702.778858,-45890.2699074)
(32004.0502222,-46621.2950863)
(56199.6500397,-3151.40742044)
(-7793.21618866,-2926.33780747)
(-12203.0326811,-19222.8699991)
(-54449.4137179,-59003.8272473)
(-43957.8084761,-33994.9155982)
(-13959.844412,53454.5005916)
(14173.1242452,33934.8238934)
(16860.6432609,-58558.5965116)
(-8326.52175129,-35384.2181658)
(-38126.4164312,7178.69055429)
(35725.0315422,-31724.9877217)
(39797.0084054,-58200.6787804)
(-15346.8149459,62610.0907202)
(-27421.9229705,27709.8335857)
(21177.5611725,-32045.5280958)
(12580.8408664,-48803.1981987)
(45172.0160399,56737.5139337)
(41805.5082495,-34658.7959875)
(33469.1036369,62061.0882086)
(360.306836373,-15780.8934721)
(57517.8975411,-12157.5666672)
(-17263.524576,-30282.8424579)
(26557.1043622,30205.2659847)
(9493.42248817,38695.5609001)
(-2708.56986725,-47732.2423906)
(-17503.4749467,-17555.8674894)
(64970.6475934,-15456.7091016)
(-16064.4260168,-63088.3173652)
(-49495.8899724,53928.175328)
(27493.0207759,-61228.8471068)
(-49537.4486231,30568.8603468)
(9572.59759404,18283.0166314)
(45694.1829872,34717.6066694)
(-15214.0658402,-23429.8028401)
(18299.098533,41027.9006977)
(-7867.04209604,-16428.8147245)
(-45447.7464114,-2878.85127238)
(20313.8693627,63437.5295478)
(-64011.5395949,-5852.88611728)
(-29865.4847014,41514.3572588)
(44953.7986392,17540.4136253)
(-49352.1692527,-6740.8131431)
(52363.6512401,26440.806005)
(44841.8034248,-10639.0886672)
(2880.34129548,18144.2134308)
(-5443.81906238,-21953.7293113)
(-30379.6813514,37160.8789602)
(-63672.9603972,-30908.7058123)
(42407.2047553,51702.9609301)
(55944.8211717,31644.6829813)
(-30494.6661987,-54280.8249626)
(-40225.9101005,-38219.7236021)
(-14701.4194544,28847.0820575)
(-1219.50444337,56069.7279707)
(-32573.3054588,12020.2880037)
(19386.8149589,51309.8487805)
(33267.1740231,-4913.08553829)
(54440.9346406,19393.9498582)
(16900.0859589,14309.9520447)
(-40716.1630851,27291.0876843)
(30286.5725033,-33127.2396678)
(14609.6302659,58898.6274944)
(50057.6121266,29372.2808914)
(-7206.12761972,62019.3736206)
(-64870.328515,12960.4081641)
(-22112.2703547,-21323.8953723)
(-35559.4725065,-41478.1214682)
(21110.2196187,-4066.12536702)
(50082.7109733,-33812.365204)
(-49801.9189344,36789.8370665)
(-3226.32212968,45437.2191757)
(-38610.6151074,41498.2909308)
(26837.6130625,1826.09811048)
(39689.6172978,-57897.6095099)
(-59853.7316526,-27125.7047097)
(42354.4551837,30891.4556492)
(51067.1916452,49400.3647657)
(1753.31820975,-43046.2060253)
(54258.3455213,2441.36945082)
(-18719.4901121,30415.9825855)
(-57913.606086,-18262.7880567)
(10981.3276576,15041.4439086)
(-7962.36662022,-12989.9487029)
(-10386.9376502,7817.70924424)
(48841.206293,34925.4169586)
(54400.7176636,-22435.9368292)
(-62606.8592022,-11847.2371757)
(-1076.98429175,-53048.7021301)
(-54468.1083833,-8419.40108055)
(10951.7650836,31708.1322787)
(48735.9746911,53703.0241273)
(42821.1592645,-59532.2026748)
(-29204.1624407,-31270.0383808)
(-53386.8063785,-18035.2451214)
(19712.7947312,64844.0544114)
(-38079.4706427,63467.8186942)
(-30735.8645049,-55648.5046576)
(-46640.3352975,-61273.4605122)
(38222.6477011,54483.1757901)
(8428.8694487,-38207.9771521)
(-58191.7244873,-44676.7578439)
(20857.2277575,-25532.8516113)
(-53791.7675412,41881.8225459)
(-59568.7455687,21116.113808)
(30470.3882715,-7431.30531273)
(5627.19876252,-18459.5741632)
(-12487.8854927,-60692.9708303)
(11815.8956186,-57739.2058368)
(7967.77058084,-13070.2970552)
(22294.2529648,47574.1608682)
(13694.2134953,-41752.4901431)
(6386.91349047,9723.13004261)
(-11990.5532284,41998.6013445)
(-21338.0139243,-40311.2665283)
(64980.1863659,30863.8078225)
(-6492.83901347,-54727.6790249)
(-29927.8624487,-33550.7427396)
(58918.6524157,-52765.9359429)
(-56150.7530657,-41964.7140823)
(-12463.3865796,62219.3565541)
(-45941.6185486,-8071.36647637)
(35250.1182933,-1682.84751987)
(-29378.6500704,-13419.0209854)
(7366.44989706,51443.7908813)
(-20972.5981551,-27296.7972704)
(3532.97856378,34902.3016971)
(38399.9072276,-10515.3980509)
(-65194.4856794,44073.9698544)
(2754.30885219,-52858.5147698)
(-13133.2188422,31378.9108265)
(40555.3855926,53744.8932447)
(-20257.6089875,-57492.8090639)
(-15880.9265432,26876.9929312)
(-46009.1521111,26705.2476244)
(-34591.0975167,-3274.93697158)
(-62532.7893254,31960.9912826)
(-45427.1393551,50390.4526921)
(-46448.9502811,-50154.5457538)
(22725.582666,46278.846203)
(13467.5894858,-60265.2876334)
(-18241.0200081,-63245.262332)
(49466.1611537,1166.46163771)
(-42026.6943287,-51829.1641357)
(-50083.4191484,26153.7775832)
(-64479.176611,40623.7430986)
(263.013952906,-64243.7970037)
(54111.6688632,24111.1904037)
(-62055.241476,52969.7972174)
(-35075.1993514,12670.1079111)
(28252.8144797,62554.4612259)
(49315.8498968,-32090.6780628)
(-12134.2020117,-43766.9407827)
(1924.67796848,-57747.3998308)
(-19166.7174892,11936.7443437)
(14614.3366928,-45707.9127242)
(6499.29407451,-18418.4796128)
(-33015.7988237,-18074.4026235)
(61321.3465459,-37302.9177509)
(23413.0483967,-12608.3373999)
(31483.7972497,-9725.83680457)
(52775.5683765,-53994.9222769)
(18034.0115122,-47536.6640002)
(1534.43285246,30491.6325167)
(-41830.9361651,18447.1440936)
(1924.87896665,-7584.18625705)
(-46992.403093,60271.0798458)
(-49233.0892294,41250.7627117)
(-62338.2630801,15533.7842819)
(44594.0895321,18550.0281339)
(-25094.154813,12289.0825325)
(8438.66119384,34757.7704459)
(-32389.0628358,27135.6959621)
(-44132.1651697,-36431.6863846)
(62100.3557775,-22603.975992)
(51932.8769085,45088.0490858)
(31939.3736757,-46513.3879268)
(57818.6740681,8081.89088298)
(-30179.2249492,-28603.9917538)
(-46581.6077928,1521.35243929)
(6356.07615173,42548.322786)
(65089.8952193,-47589.0519707)
(-48431.0904079,52449.9862215)
(56162.0327107,60537.8955117)
(57777.6744287,-24581.8983435)
(52719.2450933,25593.8123385)
(16885.6120621,-17114.8168217)
(27139.3130738,45044.606704)
(-58012.9244921,34309.503559)
(26815.2860772,4219.80688541)
(-24046.8684918,-44438.9929663)
(4777.79286208,42902.8455042)
(16291.4351162,13588.4662369)
(-27992.734737,-45839.0597713)
(-49371.1410726,41223.5170316)
(20164.1978274,61135.3368597)
(-61155.3132883,-57747.3828731)
(-34466.1735661,-60770.5700395)
(54512.6628655,28045.1040178)
(-45665.9218398,-15634.316466)
(42170.8583721,-2211.95605845)
(38488.4513592,20569.8099496)
(-47435.6865998,18310.7389371)
(18123.7401265,1398.02791881)
(55449.8998171,8277.56187678)
(16495.4745404,21390.2461084)
(-3079.29487786,-7922.83227801)
(-1850.02269593,-41032.6768471)
(-18727.6840859,-65031.2661733)
(65515.0752056,-43736.074006)
(-27772.5499695,15076.5291771)
(1879.38592237,28182.4942157)
(11212.9376925,54955.3683813)
(-26748.6914147,43738.1373891)
(64684.7813313,-30861.0214777)
(20794.3089501,-31732.6046195)
(-36942.4302654,50657.7355521)
(9268.86287449,-63881.9870767)
(54194.5140426,-7317.1185181)
(-64332.0630887,-50317.1774549)
(38154.8459811,61612.3226361)
(51358.6784199,48644.0091422)
(64977.3550565,58600.6309069)
(30615.2403024,-6827.10550968)
(30211.7620173,59637.2908624)
(39707.6357712,-51752.1016905)
(-31189.8458069,32619.846644)
(-56592.4091914,27110.5104609)
(24533.5681386,30733.1486566)
(847.434265754,-40180.3861346)
(-39071.8527186,-30524.0963034)
(-38117.9366747,-3523.4685687)
(36128.7836696,47822.5644153)
(32816.720863,-28333.9776213)
(-39346.823945,65507.5753782)
(17617.7472368,11101.6811613)
(-40205.1806921,-33397.8644165)
(-48626.8103748,60764.752889)
(44438.5807665,2239.64772465)
(8197.74370457,-54343.1877675)
(-12984.3289836,-55681.0190061)
(40752.7308112,-56178.715367)
(-52650.5449467,47368.1881734)
(-45964.4832268,-4201.05352168)
(-5399.12255959,-51380.2704514)
